koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr
FALSE POSITIVE,FALSE POSITIVE,0,395.07333,1.04E-02,-1.04E-02,244.4858,2.27E-02,-2.27E-02,0.013,0.421,-0.013,7.844,0.556,-0.556,6.45E+02,4.80E+01,-4.80E+01,230.33,7.60E+00,-4.31E+01,923,152.46,-376.71,16.4
FALSE POSITIVE,FALSE POSITIVE,0,1.51918335,1.03E-06,-1.03E-06,131.913532,6.92E-04,-6.92E-04,0.336,0.017,-0.012,5.45573,0.00804,-0.00804,5.00E+05,7.96E+02,-7.96E+02,128.17,3.46E+01,-3.46E+01,9460.59,7798.13,-5208.86,899.3
FALSE POSITIVE,FALSE POSITIVE,,13.59940118,,,133.0874188,,,,,,2.52,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,2.745910734,1.72E-07,-1.72E-07,133.1719105,5.15E-05,-5.15E-05,0.639,0.009,-0.007,4.02594,0.00177,-0.00177,2.87E+05,1.20E+02,-1.20E+02,61.16,1.74E+01,-1.07E+01,524.18,460.23,-208.06,1550.9
FALSE POSITIVE,FALSE POSITIVE,0.869,1.608363345,3.60E-07,-3.60E-07,131.58432,1.87E-04,-1.87E-04,0.608,0.025,-0.032,2.1988,0.0125,-0.0125,9.61E+04,4.86E+02,-4.86E+02,19.36,1.34E+00,-1.22E+00,390.1,112.35,-86.86,312.3
FALSE POSITIVE,FALSE POSITIVE,0,5.746017234,1.58E-06,-1.58E-06,132.042549,2.26E-04,-2.26E-04,1.008,0.63,-0.076,3.6347,0.014,-0.014,2.92E+04,8.74E+01,-8.74E+01,29.32,8.52E+00,-4.25E+00,278.69,237.6,-98.22,393.9
CANDIDATE,CANDIDATE,,144.102562,2.82E-03,-2.82E-03,198.0696,1.66E-02,-1.66E-02,0.0879,0.3602,-0.0879,2.753,0.633,-0.633,1.71E+02,3.30E+01,-3.30E+01,1.67,7.20E-01,-3.00E-01,8.64,11.25,-3.68,4.1
CANDIDATE,CANDIDATE,,112.317402,2.04E-03,-2.04E-03,241.6462,1.17E-02,-1.17E-02,0.5434,0.422,-0.3447,3.471,0.487,-0.487,1.82E+02,2.56E+01,-2.56E+01,1.77,7.60E-01,-3.20E-01,12.05,15.69,-5.13,7.8
CANDIDATE,CANDIDATE,1,9.13315062,3.18E-05,-3.18E-05,139.9861,2.80E-03,-2.80E-03,0.275,0.176,-0.275,2.1557,0.0835,-0.0835,2.31E+02,1.17E+01,-1.17E+01,1.48,4.90E-01,-1.60E-01,155.42,149.48,-45.03,23
FALSE POSITIVE,FALSE POSITIVE,0,3.963787093,2.82E-06,-2.82E-06,135.029951,6.34E-04,-6.34E-04,0.95,0.085,-0.001,3.10316,0.00845,-0.00845,2.50E+04,5.57E+01,-5.57E+01,28.11,9.82E+00,-3.26E+00,880.12,909.75,-292.53,584.8
FALSE POSITIVE,FALSE POSITIVE,0,1.759208679,1.16E-07,-1.16E-07,132.6537254,5.38E-05,-5.38E-05,0.548,0.007,-0.007,4.60837,0.00322,-0.00322,3.62E+05,2.21E+02,-2.21E+02,66.06,1.93E+01,-8.25E+00,1121.32,988.66,-371.08,1967.2
FALSE POSITIVE,FALSE POSITIVE,0,1.6031794,,,131.5678,,,,,,0.91,,,,,,,,,676.51,505.39,-182.01,
CANDIDATE,CANDIDATE,,335.56311,3.88E-02,-3.88E-02,340.6688,6.44E-02,-6.44E-02,0.12,0.33,-0.12,13.06,2.3,-2.3,1.58E+02,2.67E+01,-2.67E+01,1.83,1.01E+00,-4.70E-01,2.9,4.85,-1.49,7.2
FALSE POSITIVE,FALSE POSITIVE,0,6.496031958,5.43E-07,-5.43E-07,135.4687416,6.79E-05,-6.79E-05,0.065,0.077,-0.002,5.21924,0.00326,-0.00326,1.09E+05,7.41E+01,-7.41E+01,32.33,9.20E+00,-6.12E+00,198.07,169.83,-81.39,1797.6
FALSE POSITIVE,FALSE POSITIVE,0,4.012537983,1.58E-06,-1.58E-06,134.652406,3.31E-04,-3.31E-04,0.783,0.034,-0.003,2.0101,0.0302,-0.0302,1.98E+04,1.80E+02,-1.80E+02,9.96,7.10E-01,-9.80E-01,80.95,22.33,-22.62,166
FALSE POSITIVE,FALSE POSITIVE,0,1.594162001,6.30E-07,-6.30E-07,132.634679,3.22E-04,-3.22E-04,1.128,0.157,-0.084,5.4958,0.0183,-0.0183,9.88E+03,2.88E+01,-2.88E+01,26.11,5.29E+00,-3.51E+00,960.51,599.12,-322.19,415
FALSE POSITIVE,FALSE POSITIVE,0,10.23893988,2.67E-06,-2.67E-06,132.722552,2.15E-04,-2.15E-04,1.022,0.12,-0.035,3.4851,0.015,-0.015,3.15E+03,9.80E+00,-9.80E+00,22.09,5.58E+00,-9.04E+00,474.05,370.95,-333.5,427.6
FALSE POSITIVE,FALSE POSITIVE,0.008,5.499941387,1.58E-06,-1.58E-06,136.869403,2.36E-04,-2.36E-04,0.002,0.145,-0.002,5.1339,0.0132,-0.0132,4.01E+04,9.28E+01,-9.28E+01,23.34,7.46E+00,-2.99E+00,492.27,449.7,-164.63,506.4
FALSE POSITIVE,FALSE POSITIVE,0,8.667826242,2.84E-07,-2.84E-07,137.3415297,2.68E-05,-2.68E-05,0.822,0.003,-0.001,5.06514,0.00075,-0.00075,4.35E+04,1.28E+01,-1.28E+01,37.51,1.16E+01,-8.73E+00,531.63,471.65,-261.44,4638.1
FALSE POSITIVE,FALSE POSITIVE,0,265.2996227,8.84E-05,-8.84E-05,316.91977,2.27E-04,-2.27E-04,0.798,0.029,-0.022,8.8452,0.0187,-0.0187,1.00E+05,2.76E+02,-2.76E+02,33.81,8.81E+00,-2.94E+00,1.25,0.93,-0.33,616.3
FALSE POSITIVE,FALSE POSITIVE,0,265.2999623,4.79E-04,-4.79E-04,316.91821,1.07E-03,-1.07E-03,0.928,5.184,-0.056,8.8577,0.0565,-0.0565,3.18E+04,2.63E+02,-2.63E+02,25.56,8.00E+00,-2.67E+00,1.81,1.66,-0.56,154.7
FALSE POSITIVE,FALSE POSITIVE,,98.1020983,9.85E-04,-9.85E-04,170.33189,8.96E-03,-8.96E-03,0.1865,0.4593,-0.1178,1.225,0.233,-0.233,1.84E+02,3.96E+01,-3.96E+01,1.97,1.11E+00,-4.00E-01,17.96,30.3,-8.03,6.9
FALSE POSITIVE,FALSE POSITIVE,,182.467019,3.92E-03,-3.92E-03,215.019,2.31E-02,-2.31E-02,0.0158,0.4376,-0.0156,7.607,0.912,-0.912,1.02E+03,1.63E+02,-1.63E+02,3.73,2.56E+00,-4.20E-01,4.17,8.79,-1.34,12.5
FALSE POSITIVE,FALSE POSITIVE,,126.5783727,,,198.1194352,,,,,,2.5,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,11.41437505,6.01E-05,-6.01E-05,142.59649,4.39E-03,-4.39E-03,0.895,7.145,-0.075,6.276,0.206,-0.206,4.60E+04,1.57E+03,-1.57E+03,44.08,1.30E+01,-8.64E+00,383.45,317.82,-166.05,34.2
CANDIDATE,CANDIDATE,,154.607419,4.28E-03,-4.28E-03,250.5204,2.07E-02,-2.07E-02,0.0898,0.3465,-0.0897,9.225,0.524,-0.524,2.80E+02,2.29E+01,-2.29E+01,1.56,6.40E-01,-1.30E-01,3.16,3.79,-0.81,13.4
CANDIDATE,CANDIDATE,0.742,57.132855,1.07E-03,-1.07E-03,152.9919,1.40E-02,-1.40E-02,0.32,0.141,-0.32,4.958,0.376,-0.376,4.14E+02,4.07E+01,-4.07E+01,1.81,1.30E-01,-1.70E-01,6.94,1.5,-1.64,11
FALSE POSITIVE,FALSE POSITIVE,,151.31847,1.06E-02,-1.06E-02,148.9275,8.10E-02,-8.10E-02,0.3788,0.0973,-0.3786,16.45,2.4,-2.4,1.05E+02,2.67E+01,-2.67E+01,1.13,4.00E-01,-1.70E-01,4.57,4.74,-1.61,6
FALSE POSITIVE,FALSE POSITIVE,0,10.4032399,2.64E-05,-2.64E-05,138.18443,2.14E-03,-2.14E-03,1.296,0.168,-0.188,23.85,0.122,-0.122,1.06E+03,4.80E+00,-4.80E+00,51.47,1.11E+01,-1.23E+01,350.59,220.19,-170.58,272.8
FALSE POSITIVE,FALSE POSITIVE,0.991,1.853209359,4.49E-07,-4.49E-07,132.249661,2.01E-04,-2.01E-04,0.99,2.122,-0.035,1.7543,0.00965,-0.00965,1.23E+04,5.13E+01,-5.13E+01,32.99,8.44E+00,-1.27E+01,4584.55,3501.28,-3076.77,238.9
FALSE POSITIVE,FALSE POSITIVE,0,14.66769462,1.28E-05,-1.28E-05,139.161736,7.12E-04,-7.12E-04,1.169,6.63,-0.235,2.4462,0.0379,-0.0379,2.99E+04,4.06E+02,-4.06E+02,145.18,1.74E+01,-6.97E+01,1370.6,573.83,-1057.96,86.5
CANDIDATE,CANDIDATE,0.791,28.2251049,3.38E-04,-3.38E-04,153.7452,1.12E-02,-1.12E-02,0.778,0.037,-0.541,2.354,0.342,-0.342,2.01E+02,2.80E+01,-2.80E+01,1.59,5.20E-01,-2.10E-01,36.13,35.82,-12.44,8.9
CANDIDATE,CANDIDATE,0.404,150.381954,4.40E-03,-4.40E-03,205.2811,1.96E-02,-1.96E-02,0.892,0.078,-0.642,4.968,0.476,-0.476,3.96E+02,5.60E+01,-5.60E+01,2.26,3.10E-01,-1.60E-01,2.63,0.94,-0.5,7.8
CANDIDATE,CANDIDATE,0.638,95.906433,1.26E-03,-1.26E-03,226.921,1.07E-02,-1.07E-02,0.576,0.009,-0.488,4.08,0.285,-0.285,8.36E+02,8.08E+01,-8.08E+01,2.17,7.00E-02,-1.20E-01,1.63,0.2,-0.29,11
FALSE POSITIVE,FALSE POSITIVE,0,11.4132144,1.34E-04,-1.34E-04,140.11988,8.26E-03,-8.26E-03,0.439,0.01,-0.438,2.371,0.266,-0.266,7.64E+01,8.80E+00,-8.80E+00,1.03,3.30E-01,-1.70E-01,172.97,159.19,-68.4,10.4
CANDIDATE,CANDIDATE,0.496,445.21685,1.81E-02,-1.81E-02,202.847,3.96E-02,-3.96E-02,0,0.444,0,16.37,1,-1,2.12E+02,2.06E+01,-2.06E+01,1.37,1.80E-01,-1.80E-01,0.74,0.29,-0.22,11.1
FALSE POSITIVE,FALSE POSITIVE,,172.178768,2.07E-03,-2.07E-03,139.442,1.12E-02,-1.12E-02,0.2431,0.3551,-0.2428,1.19,0.309,-0.309,5.01E+02,1.17E+02,-1.17E+02,2.29,1.01E+00,-2.20E-01,3.51,4.54,-0.98,4.7
CANDIDATE,CANDIDATE,0.901,35.502865,1.07E-03,-1.07E-03,150.4186,2.57E-02,-2.57E-02,0.783,0.019,-0.557,8.149,0.781,-0.781,1.16E+02,1.20E+01,-1.20E+01,2.18,5.20E-01,-3.50E-01,64.83,41.23,-21.51,11
FALSE POSITIVE,FALSE POSITIVE,0,13.78752053,4.91E-07,-4.91E-07,136.762097,2.87E-05,-2.87E-05,0.99,0.102,-0.033,2.55435,0.00192,-0.00192,1.30E+04,3.30E+00,-3.30E+00,25.33,4.26E+00,-2.30E+00,170.01,72.38,-37.12,2126.1
FALSE POSITIVE,FALSE POSITIVE,0,8.2904597,3.41E-05,-3.41E-05,132.24956,4.91E-03,-4.91E-03,0.426,0.037,-0.083,2.6002,0.0169,-0.0169,1.73E+05,8.60E+02,-8.60E+02,23.96,1.82E+00,-1.99E+00,29.41,9.69,-8.29,297.2
CANDIDATE,CANDIDATE,0.137,66.789347,1.13E-03,-1.13E-03,184.4713,1.44E-02,-1.44E-02,0.667,0.049,-0.484,4.08,0.397,-0.397,3.59E+02,4.18E+01,-4.18E+01,2.07,6.40E-01,-2.20E-01,13.61,12.37,-4.16,9.5
CANDIDATE,CANDIDATE,0,6.150251376,7.00E-07,-7.00E-07,134.4228253,8.79E-05,-8.79E-05,1.27,0.247,-0.116,1.68923,0.00306,-0.00306,2.13E+03,2.20E+00,-2.20E+00,100.03,3.45E+01,-3.79E+01,6066.49,6163.4,-4172.88,471
FALSE POSITIVE,FALSE POSITIVE,0,8.214204254,8.06E-06,-8.06E-06,135.01403,1.27E-03,-1.27E-03,1.092,0.202,-0.086,4.5905,0.012,-0.012,7.42E+04,1.36E+02,-1.36E+02,42.29,9.23E+00,-3.99E+00,96.12,65.39,-27.75,613.1
FALSE POSITIVE,FALSE POSITIVE,0,15.71377375,7.27E-05,-7.27E-05,132.09973,4.00E-03,-4.00E-03,0.864,0.312,-0.053,7.464,0.331,-0.331,9.48E+03,1.66E+02,-1.66E+02,10.85,2.97E+00,-1.36E+00,66.24,53.08,-21.44,98.1
FALSE POSITIVE,FALSE POSITIVE,0,5.918619554,7.12E-07,-7.12E-07,132.924716,1.01E-04,-1.01E-04,0.258,0.05,-0.006,3.94804,0.00396,-0.00396,9.41E+04,1.03E+02,-1.03E+02,29.98,9.64E+00,-3.21E+00,245.42,235.97,-76.04,1117
FALSE POSITIVE,FALSE POSITIVE,0,3.319523463,1.28E-06,-1.28E-06,131.923046,3.00E-04,-3.00E-04,1.162,0.442,-0.159,3.3465,0.0209,-0.0209,3.88E+04,1.81E+02,-1.81E+02,38.37,9.36E+00,-3.11E+00,356.42,256.95,-86.46,249.4
FALSE POSITIVE,FALSE POSITIVE,0,5.874197307,3.15E-07,-3.15E-07,134.3187261,4.46E-05,-4.46E-05,0.7,0.116,-0.017,4.26585,0.00253,-0.00253,2.06E+05,9.92E+01,-9.92E+01,59.2,1.83E+01,-9.84E+00,361.15,337.78,-143.18,2200
FALSE POSITIVE,FALSE POSITIVE,0,19.7959731,1.31E-04,-1.31E-04,135.93667,5.85E-03,-5.85E-03,0.156,0.184,-0.156,5.342,0.141,-0.141,3.34E+02,2.25E+01,-2.25E+01,3.47,1.04E+00,-1.04E+00,249.43,221.55,-145,16.6
CANDIDATE,CANDIDATE,0.959,29.5126153,5.83E-04,-5.83E-04,134.7234,1.71E-02,-1.71E-02,0.188,0.269,-0.188,6.314,0.492,-0.492,1.88E+02,2.29E+01,-2.29E+01,1.84,3.00E-01,-3.70E-01,49.95,21.25,-19.56,9.4
FALSE POSITIVE,FALSE POSITIVE,,209.0005502,,,149.8223238,,,,,,2.52,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,5.614892073,5.25E-06,-5.25E-06,132.842964,7.72E-04,-7.72E-04,1.243,5.064,-0.104,3.7294,0.0401,-0.0401,2.37E+03,2.28E+01,-2.28E+01,1192.79,4.56E+01,-2.58E+02,66631.18,11767.38,-29984.84,122.3
CONFIRMED,CANDIDATE,1,12.2064304,9.94E-04,-9.94E-04,134.053,1.12E-01,-1.12E-01,0.104,0.365,-0.104,2.407,0.126,-0.126,1.34E+03,9.23E+01,-9.23E+01,5.41,2.22E+00,-2.45E+00,151.44,199.67,-111.51,16.2
CONFIRMED,CANDIDATE,1,6.6513189,6.04E-04,-6.04E-04,135.289,1.26E-01,-1.26E-01,0.064,0.389,-0.064,2.135,0.151,-0.151,1.06E+03,8.00E+01,-8.00E+01,4.81,1.98E+00,-2.18E+00,340.06,448.39,-250.39,15.3
FALSE POSITIVE,FALSE POSITIVE,0,3.905532605,2.10E-06,-2.10E-06,133.349361,4.45E-04,-4.45E-04,0.002,0.089,-0.002,6.8091,0.0192,-0.0192,7.31E+04,2.36E+02,-2.36E+02,21.37,4.07E+00,-2.19E+00,253.21,146.19,-70.59,350.4
CONFIRMED,CANDIDATE,1,210.631486,1.51E-03,-1.51E-03,300.72292,6.18E-03,-6.18E-03,0.642,0.016,-0.493,8.419,0.223,-0.223,1.66E+03,6.52E+01,-6.52E+01,3.23,1.70E-01,-1.30E-01,0.71,0.13,-0.1,25.9
CANDIDATE,CANDIDATE,,455.27405,5.65E-02,-5.65E-02,367.95,1.44E-02,-1.44E-02,0.2429,0.3335,-0.2428,2.4,1.1,-1.1,3.66E+02,1.22E+02,-1.22E+02,1.54,3.40E-01,-1.10E-01,0.35,0.25,-0.08,4.5
CANDIDATE,CANDIDATE,,117.761,2.25E-03,-2.25E-03,175.5599,1.63E-02,-1.63E-02,0.2505,0.2007,-0.2504,3.454,0.399,-0.399,5.39E+01,8.20E+00,-8.20E+00,0.62,1.00E-01,-3.00E-02,3.06,1.4,-0.52,7.1
CANDIDATE,CANDIDATE,,46.331703,8.29E-04,-8.29E-04,173.2164,1.60E-02,-1.60E-02,0.1484,0.3026,-0.1484,4.514,0.411,-0.411,3.00E+02,3.42E+01,-3.42E+01,1.39,5.20E-01,-1.00E-01,8.98,10.12,-2.09,9.4
CANDIDATE,CANDIDATE,1,0.766691517,1.27E-06,-1.27E-06,132.19667,1.38E-03,-1.38E-03,0.388,0.053,-0.388,1.2638,0.0507,-0.0507,2.44E+02,1.01E+01,-1.01E+01,1.22,5.00E-02,-8.00E-02,1334.22,188.87,-238.99,29.5
FALSE POSITIVE,FALSE POSITIVE,0,5.2438528,1.39E-04,-1.39E-04,132.6659,2.71E-02,-2.71E-02,0.583,0.384,-0.378,10.539,0.566,-0.566,1.36E+02,8.80E+00,-8.80E+00,1.11,3.30E-01,-1.30E-01,251.99,227.17,-83.48,17.8
FALSE POSITIVE,FALSE POSITIVE,,93.6273251,,,222.5881699,,,,,,1.92,,,,,,,,,,,,
CANDIDATE,CANDIDATE,0.982,7.1931193,7.97E-05,-7.97E-05,137.2737,1.02E-02,-1.02E-02,0.296,0.162,-0.296,2.935,0.213,-0.213,1.26E+02,1.33E+01,-1.33E+01,1.12,1.50E-01,-1.10E-01,166.3,60.02,-39.02,10.7
FALSE POSITIVE,FALSE POSITIVE,0,6.474202359,7.05E-07,-7.05E-07,134.3950738,8.99E-05,-8.99E-05,0.448,0.004,-0.006,3.35989,0.00583,-0.00583,2.03E+05,2.06E+02,-2.06E+02,28.96,2.51E+00,-2.27E+00,62.47,20.51,-15.49,1284
FALSE POSITIVE,FALSE POSITIVE,0,8.4803048,1.76E-05,-1.76E-05,135.85228,1.70E-03,-1.70E-03,0.027,0.177,-0.027,7.5348,0.0541,-0.0541,2.67E+03,4.78E+01,-4.78E+01,4.13,9.60E-01,-3.80E-01,86.01,62.45,-23.26,70.1
FALSE POSITIVE,FALSE POSITIVE,0,8.947426242,1.53E-07,-1.53E-07,132.0457395,1.33E-05,-1.33E-05,0.517,0.007,-0.005,4.89701,0.00141,-0.00141,8.60E+04,9.80E+00,-9.80E+00,45.87,1.04E+01,-1.14E+01,401.11,272.96,-205.01,7878
FALSE POSITIVE,FALSE POSITIVE,0,9.93443795,2.33E-05,-2.33E-05,132.87307,1.97E-03,-1.97E-03,1.264,6.598,-0.185,8.098,0.109,-0.109,2.75E+03,3.47E+01,-3.47E+01,35.54,7.73E+00,-3.31E+00,112.23,72.62,-32.45,92.8
FALSE POSITIVE,FALSE POSITIVE,0,2.173552528,3.09E-06,-3.09E-06,132.3118,1.18E-03,-1.18E-03,1.297,6.854,-0.802,1.6107,0.0679,-0.0679,3.03E+03,1.02E+02,-1.02E+02,23.51,1.66E+00,-1.50E+00,260.75,79.82,-58.63,35.9
CANDIDATE,CANDIDATE,1,47.7439509,3.35E-04,-3.35E-04,160.15905,5.75E-03,-5.75E-03,0.977,0.014,-0.692,2.99,0.129,-0.129,9.69E+01,7.30E+00,-7.30E+00,1.74,2.80E-01,-2.80E-01,25.84,11.59,-9.08,15
CANDIDATE,CANDIDATE,0.961,4.57834367,6.38E-05,-6.38E-05,132.2982,1.09E-02,-1.09E-02,0.232,0.23,-0.232,3.987,0.289,-0.289,1.41E+02,1.36E+01,-1.36E+01,1.44,2.30E-01,-2.10E-01,499.41,210.4,-153.04,11.4
FALSE POSITIVE,FALSE POSITIVE,0,10.15771597,5.07E-06,-5.07E-06,139.442275,3.96E-04,-3.96E-04,1.268,1.809,-0.206,2.9526,0.0225,-0.0225,9.52E+03,6.72E+01,-6.72E+01,42.27,1.31E+01,-4.07E+00,125.42,118.65,-38.51,168
CANDIDATE,CANDIDATE,0.958,12.654896,1.74E-04,-1.74E-04,134.6826,1.30E-02,-1.30E-02,0.009,0.432,-0.009,4.325,0.281,-0.281,1.01E+02,1.08E+01,-1.08E+01,1.02,2.80E-01,-1.60E-01,97.41,80.57,-35.35,10.4
CANDIDATE,CANDIDATE,,131.258668,3.65E-03,-3.65E-03,182.3187,2.28E-02,-2.28E-02,0.4901,0.4832,-0.2885,4.89,0.639,-0.639,1.53E+02,2.02E+01,-2.02E+01,1.59,1.09E+00,-2.30E-01,8.31,17.61,-3.02,8.5
CANDIDATE,CANDIDATE,0.982,92.552007,1.31E-03,-1.31E-03,221.5872,1.03E-02,-1.03E-02,0.513,0.003,-0.484,2.135,0.424,-0.424,2.83E+02,4.90E+01,-4.90E+01,2.1,6.00E-01,-4.00E-01,8.87,7.4,-3.78,7.3
CANDIDATE,CANDIDATE,,75.072964,4.91E-03,-4.91E-03,147.1591,3.73E-02,-3.73E-02,0.2602,0.1842,-0.2601,9.21,1.9,-1.9,7.43E+01,1.48E+01,-1.48E+01,1.09,7.40E-01,-1.60E-01,17.51,37.1,-6.36,7.1
FALSE POSITIVE,FALSE POSITIVE,,404.701927,5.71E-03,-5.71E-03,196.6089,1.16E-02,-1.16E-02,0.2598,0.1773,-0.2598,3.981,0.458,-0.458,2.36E+02,3.31E+01,-3.31E+01,1.94,1.33E+00,-2.80E-01,1.85,3.93,-0.67,7.8
FALSE POSITIVE,FALSE POSITIVE,0,0.779609509,6.13E-06,-6.13E-06,131.67843,7.14E-03,-7.14E-03,0.676,0.035,-0.512,4.013,0.208,-0.208,8.85E+01,5.50E+00,-5.50E+00,1.07,3.20E-01,-1.80E-01,4557.44,4164.03,-1777.12,21
FALSE POSITIVE,FALSE POSITIVE,,15.80529628,,,135.9561178,,,,,,1.56,,,,,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,2.103239235,1.35E-07,-1.35E-07,132.8681395,5.24E-05,-5.24E-05,0.62,0.012,-0.014,7.08365,0.00326,-0.00326,3.15E+05,9.11E+01,-9.11E+01,64.15,2.02E+01,-6.71E+00,1100.91,1012.28,-329.01,3069.4
CANDIDATE,CANDIDATE,,31.8134892,3.02E-04,-3.02E-04,137.82331,7.71E-03,-7.71E-03,0.2316,0.338,-0.2316,1.422,0.353,-0.353,2.34E+02,7.30E+01,-7.30E+01,1.18,4.40E-01,-9.00E-02,14.31,16.65,-3.67,5.2
CANDIDATE,CANDIDATE,0.441,115.230655,2.10E-03,-2.10E-03,176.644,1.34E-02,-1.34E-02,0.95,0.002,-0.659,17.735,0.373,-0.373,1.64E+02,8.00E+00,-8.00E+00,4.02,9.60E-01,-1.92E+00,37.8,26.92,-28.99,21.3
CONFIRMED,CANDIDATE,0.955,184.262741,2.69E-03,-2.69E-03,255.2287,1.12E-02,-1.12E-02,0.885,0.023,-0.632,11.94,0.233,-0.233,2.92E+02,1.42E+01,-1.42E+01,2.57,4.40E-01,-4.30E-01,4.93,2.34,-1.8,21.1
CANDIDATE,CANDIDATE,0.99,106.25976,2.61E-03,-2.61E-03,132.2417,2.16E-02,-2.16E-02,0.209,0.243,-0.209,6.101,0.849,-0.849,3.54E+02,5.53E+01,-5.53E+01,1.5,1.00E-01,-1.60E-01,1.99,0.53,-0.58,7.7
CANDIDATE,CANDIDATE,0.767,505.462916,8.29E-03,-8.29E-03,458.07755,8.63E-03,-8.63E-03,0.489,0.01,-0.45,10.127,0.381,-0.381,1.72E+03,1.04E+02,-1.04E+02,3.46,2.80E-01,-3.50E-01,0.25,0.09,-0.07,17.6
CANDIDATE,CANDIDATE,,274.743032,8.62E-03,-8.62E-03,300.5018,1.64E-02,-1.64E-02,0.4073,0.0684,-0.4073,9.137,0.698,-0.698,3.09E+02,2.84E+01,-2.84E+01,2.16,1.34E+00,-3.20E-01,2.82,5.35,-1.04,12.2
CANDIDATE,CANDIDATE,,360.477635,9.88E-03,-9.88E-03,253.9112,2.01E-02,-2.01E-02,72.848,28.12,-10.45,4.332,0.953,-0.953,6.04E+02,1.17E+02,-1.17E+02,11943.8,2.46E+03,-2.39E+03,3.11,1.79,-1.28,7.3
CANDIDATE,CANDIDATE,,18.0811429,5.32E-04,-5.32E-04,140.5222,3.32E-02,-3.32E-02,0.6214,0.0392,-0.4841,4.44,1,-1,7.12E+01,2.16E+01,-2.16E+01,0.75,3.30E-01,-5.00E-02,39.18,50.79,-9.05,5.7
CONFIRMED,CANDIDATE,1,20.9569985,1.79E-04,-1.79E-04,139.07664,9.68E-03,-9.68E-03,0.112,0.334,-0.112,3.493,0.134,-0.134,1.92E+03,9.09E+01,-9.09E+01,2.38,1.50E-01,-1.10E-01,4.11,0.87,-0.69,22.7
FALSE POSITIVE,FALSE POSITIVE,0,15.24933591,2.73E-06,-2.73E-06,143.662829,1.48E-04,-1.48E-04,1.077,0.186,-0.09,3.82224,0.00786,-0.00786,3.46E+04,5.82E+01,-5.82E+01,45.92,1.47E+01,-7.34E+00,138.77,128.02,-52.07,635.5
FALSE POSITIVE,FALSE POSITIVE,0,4.816610903,7.36E-07,-7.36E-07,133.763636,1.28E-04,-1.28E-04,0.431,0.025,-0.018,3.82353,0.00743,-0.00743,8.02E+04,1.34E+02,-1.34E+02,26.15,6.86E+00,-3.18E+00,287.3,217.25,-88.86,759.1
FALSE POSITIVE,FALSE POSITIVE,0,2.305903447,,,131.7928588,,,0.003,,,3.3828,,,2.33E+04,,,39.04,1.35E+01,-1.35E+01,23214.46,23702.76,-15042.03,511.7
FALSE POSITIVE,FALSE POSITIVE,0,1.814128042,1.04E-06,-1.04E-06,131.938871,4.73E-04,-4.73E-04,1.246,0.963,-0.115,3.0646,0.025,-0.025,2.06E+03,1.48E+01,-1.48E+01,426.98,8.76E+01,-1.63E+02,47891.79,23891.36,-31232.44,163.9
FALSE POSITIVE,FALSE POSITIVE,0,1.247121237,5.29E-06,-5.29E-06,132.39461,1.96E-03,-1.96E-03,1.223,0.413,-0.144,9.363,0.213,-0.213,9.67E+02,1.29E+01,-1.29E+01,18.39,1.64E+00,-1.64E+00,552.82,184.86,-141.69,92.1
FALSE POSITIVE,FALSE POSITIVE,0,4.128795314,3.02E-07,-3.02E-07,132.5796644,5.85E-05,-5.85E-05,0.739,0.256,-0.009,2.771,0.00465,-0.00465,1.55E+05,1.13E+02,-1.13E+02,52,1.40E+01,-1.15E+01,565.91,448.47,-257.72,1041.8
FALSE POSITIVE,FALSE POSITIVE,0,3.269176601,5.16E-07,-5.16E-07,133.257825,1.26E-04,-1.26E-04,2.195,0.799,-0.848,2.7233,0.0162,-0.0162,5.91E+04,1.28E+02,-1.28E+02,164.61,5.40E+01,-1.80E+01,781.57,750.06,-238.32,515.5
CANDIDATE,CANDIDATE,0.019,5.902596818,1.77E-06,-1.77E-06,136.388994,2.47E-04,-2.47E-04,0.168,0.079,-0.013,5.5711,0.0205,-0.0205,5.49E+04,1.25E+02,-1.25E+02,25.8,8.45E+00,-3.63E+00,376.53,369.76,-136.36,533.9
FALSE POSITIVE,FALSE POSITIVE,0,15.99509405,1.82E-06,-1.82E-06,147.305407,9.58E-05,-9.58E-05,0.272,0.019,-0.017,8.45037,0.00572,-0.00572,4.43E+04,2.64E+01,-2.64E+01,17.09,4.63E+00,-1.23E+00,49.26,39.22,-11.71,2019.7
CANDIDATE,CANDIDATE,,214.013044,7.17E-03,-7.17E-03,179.8607,2.33E-02,-2.33E-02,0.1289,0.3159,-0.1289,7.87,2.2,-2.2,1.23E+02,1.87E+01,-1.87E+01,1.54,9.20E-01,-2.60E-01,5.89,10.57,-2.33,9
